teams_num,teams_size,min_accuracy_negative,min_accuracy_positive
1,5,0.71,0.705
1,10,0.749,0.673
1,15,0.782,0.6940000000000001
1,20,0.8,0.706
5,5,0.8,0.714
5,10,0.812,0.68
5,15,0.8230000000000001,0.683
5,20,0.854,0.6930000000000001
10,5,0.8130000000000001,0.6960000000000001
10,10,0.833,0.676
10,15,0.8210000000000001,0.679
10,20,0.844,0.684
15,5,0.8140000000000001,0.681
15,10,0.836,0.676
15,15,0.8160000000000001,0.681
15,20,0.838,0.68
20,5,0.8270000000000001,0.681
20,10,0.836,0.678
20,15,0.8190000000000001,0.683
20,20,0.843,0.679
25,5,0.85,0.687
25,10,0.842,0.684
25,15,0.835,0.6890000000000001
25,20,0.853,0.685
30,5,0.91,0.6940000000000001
30,10,0.854,0.6910000000000001
30,15,0.854,0.686
30,20,0.87,0.678
