name,final_adoption
0_0_0_0_0,0.0
0_0_0_0_1,0.0
0_0_0_0_2,0.0
0_0_0_0_3,0.0
0_0_0_1_0,0.0
0_0_0_1_1,0.0
0_0_0_1_2,0.0
0_0_0_1_3,0.0
0_0_0_2_0,0.0
0_0_0_2_1,0.0
0_0_0_2_2,0.0
0_0_0_2_3,0.0
0_0_0_3_0,0.0
0_0_0_3_1,0.0
0_0_0_3_2,0.0
0_0_0_3_3,0.0
0_0_10_0_0,0.0
0_0_10_0_1,0.0
0_0_10_0_2,0.0
0_0_10_0_3,0.0
0_0_10_1_0,0.0
0_0_10_1_1,0.0
0_0_10_1_2,0.0
0_0_10_1_3,0.0
0_0_10_2_0,0.0
0_0_10_2_1,0.0
0_0_10_2_2,0.0
0_0_10_2_3,0.0
0_0_10_3_0,0.0
0_0_10_3_1,0.0
0_0_10_3_2,0.0
0_0_10_3_3,0.0
0_0_1_0_0,0.0
0_0_1_0_1,0.0
0_0_1_0_2,0.0
0_0_1_0_3,0.0
0_0_1_1_0,0.0
0_0_1_1_1,0.0
0_0_1_1_2,0.0
0_0_1_1_3,0.0
0_0_1_2_0,0.0
0_0_1_2_1,0.0
0_0_1_2_2,0.0
0_0_1_2_3,0.0
0_0_1_3_0,0.0
0_0_1_3_1,0.0
0_0_1_3_2,0.0
0_0_1_3_3,0.0
0_0_2_0_0,0.0
0_0_2_0_1,0.0
0_0_2_0_2,0.0
0_0_2_0_3,0.0
0_0_2_1_0,0.0
0_0_2_1_1,0.0
0_0_2_1_2,0.0
0_0_2_1_3,0.0
0_0_2_2_0,0.0
0_0_2_2_1,0.0
0_0_2_2_2,0.0
0_0_2_2_3,0.0
0_0_2_3_0,0.0
0_0_2_3_1,0.0
0_0_2_3_2,0.0
0_0_2_3_3,0.0
0_0_3_0_0,0.0
0_0_3_0_1,0.0
0_0_3_0_2,0.0
0_0_3_0_3,0.0
0_0_3_1_0,0.0
0_0_3_1_1,0.0
0_0_3_1_2,0.0
0_0_3_1_3,0.0
0_0_3_2_0,0.0
0_0_3_2_1,0.0
0_0_3_2_2,0.0
0_0_3_2_3,0.0
0_0_3_3_0,0.0
0_0_3_3_1,0.0
0_0_3_3_2,0.0
0_0_3_3_3,0.0
0_0_4_0_0,0.0
0_0_4_0_1,0.0
0_0_4_0_2,0.0
0_0_4_0_3,0.0
0_0_4_1_0,0.0
0_0_4_1_1,0.0
0_0_4_1_2,0.0
0_0_4_1_3,0.0
0_0_4_2_0,0.0
0_0_4_2_1,0.0
0_0_4_2_2,0.0
0_0_4_2_3,0.0
0_0_4_3_0,0.0
0_0_4_3_1,0.0
0_0_4_3_2,0.0
0_0_4_3_3,0.0
0_0_5_0_0,0.0
0_0_5_0_1,0.0
0_0_5_0_2,0.0
0_0_5_0_3,0.0
0_0_5_1_0,0.0
0_0_5_1_1,0.0
0_0_5_1_2,0.0
0_0_5_1_3,0.0
0_0_5_2_0,0.0
0_0_5_2_1,0.0
0_0_5_2_2,0.0
0_0_5_2_3,0.0
0_0_5_3_0,0.0
0_0_5_3_1,0.0
0_0_5_3_2,0.0
0_0_5_3_3,0.0
0_0_6_0_0,0.0
0_0_6_0_1,0.0
0_0_6_0_2,0.0
0_0_6_0_3,0.0
0_0_6_1_0,0.0
0_0_6_1_1,0.0
0_0_6_1_2,0.0
0_0_6_1_3,0.0
0_0_6_2_0,0.0
0_0_6_2_1,0.0
0_0_6_2_2,0.0
0_0_6_2_3,0.0
0_0_6_3_0,0.0
0_0_6_3_1,0.0
0_0_6_3_2,0.0
0_0_6_3_3,0.0
0_0_7_0_0,0.0
0_0_7_0_1,0.0
0_0_7_0_2,0.0
0_0_7_0_3,0.0
0_0_7_1_0,0.0
0_0_7_1_1,0.0
0_0_7_1_2,0.0
0_0_7_1_3,0.0
0_0_7_2_0,0.0
0_0_7_2_1,0.0
0_0_7_2_2,0.0
0_0_7_2_3,0.0
0_0_7_3_0,0.0
0_0_7_3_1,0.0
0_0_7_3_2,0.0
0_0_7_3_3,0.0
0_0_8_0_0,0.0
0_0_8_0_1,0.0
0_0_8_0_2,0.0
0_0_8_0_3,0.0
0_0_8_1_0,0.0
0_0_8_1_1,0.0
0_0_8_1_2,0.0
0_0_8_1_3,0.0
0_0_8_2_0,0.0
0_0_8_2_1,0.0
0_0_8_2_2,0.0
0_0_8_2_3,0.0
0_0_8_3_0,0.0
0_0_8_3_1,0.0
0_0_8_3_2,0.0
0_0_8_3_3,0.0
0_0_9_0_0,0.0
0_0_9_0_1,0.0
0_0_9_0_2,0.0
0_0_9_0_3,0.0
0_0_9_1_0,0.0
0_0_9_1_1,0.0
0_0_9_1_2,0.0
0_0_9_1_3,0.0
0_0_9_2_0,0.0
0_0_9_2_1,0.0
0_0_9_2_2,0.0
0_0_9_2_3,0.0
0_0_9_3_0,0.0
0_0_9_3_1,0.0
0_0_9_3_2,0.0
0_0_9_3_3,0.0
0_10_0_0_0,0.00013379885195043332
0_10_0_0_1,5.38320111539761e-06
0_10_0_0_2,0.0006379625007039842
0_10_0_0_3,0.00021775831580217876
0_10_0_1_0,1.1779219727685398e-17
0_10_0_1_1,3.543845473225926e-21
0_10_0_1_2,2.4773357073788905e-08
0_10_0_1_3,1.1000220552414969e-17
0_10_0_2_0,4.216111813158698e-05
0_10_0_2_1,9.637140695254597e-07
0_10_0_2_2,2.0895234913793084e-08
0_10_0_2_3,0.00013956925069032967
0_10_0_3_0,1.7734184663273927e-07
0_10_0_3_1,7.849066270811079e-07
0_10_0_3_2,3.02525421201987e-07
0_10_0_3_3,0.00019354543720523563
0_10_10_0_0,0.8242941234804992
0_10_10_0_1,0.8008380804802349
0_10_10_0_2,0.868367244458687
0_10_10_0_3,0.9556950267993995
0_10_10_1_0,0.7684155890386655
0_10_10_1_1,0.8497427316926103
0_10_10_1_2,0.8535834037204041
0_10_10_1_3,0.8175224285276954
0_10_10_2_0,0.8600182413064782
0_10_10_2_1,0.8599169570580283
0_10_10_2_2,0.8889786750384944
0_10_10_2_3,0.8416847277568884
0_10_10_3_0,0.7857587583297182
0_10_10_3_1,0.784005034108076
0_10_10_3_2,0.8458237361740446
0_10_10_3_3,0.8888460315492877
0_10_1_0_0,1.1040383469922984e-06
0_10_1_0_1,0.0003441967547002557
0_10_1_0_2,0.0004704035298493372
0_10_1_0_3,7.279017463848386e-05
0_10_1_1_0,1.5503592980306886e-17
0_10_1_1_1,4.112341088817782e-18
0_10_1_1_2,5.3339849365944665e-08
0_10_1_1_3,5.454595656501183e-15
0_10_1_2_0,5.703717284199802e-05
0_10_1_2_1,1.185244611413582e-06
0_10_1_2_2,5.739750402327175e-08
0_10_1_2_3,0.00014747717265807973
0_10_1_3_0,3.7132645324018866e-07
0_10_1_3_1,1.4325098201966324e-06
0_10_1_3_2,6.883208565611788e-07
0_10_1_3_3,0.00026288882700697513
0_10_2_0_0,1.1040383469922984e-06
0_10_2_0_1,0.0011663338478148124
0_10_2_0_2,0.0003502132783432049
0_10_2_0_3,0.0009802528377728192
0_10_2_1_0,0.00017573089474475835
0_10_2_1_1,1.900903584034976e-18
0_10_2_1_2,5.656171631168771e-07
0_10_2_1_3,9.889460268875796e-13
0_10_2_2_0,6.0715948996888936e-05
0_10_2_2_1,2.1801519740565106e-06
0_10_2_2_2,5.869609718680624e-08
0_10_2_2_3,0.0002371745871677431
0_10_2_3_0,6.944469034692444e-07
0_10_2_3_1,1.933919125156493e-06
0_10_2_3_2,1.4392894215658582e-06
0_10_2_3_3,0.0003171414499458545
0_10_3_0_0,5.726975356602884e-07
0_10_3_0_1,0.003636060766471961
0_10_3_0_2,0.0010137874510019029
0_10_3_0_3,6.775144510624042e-05
0_10_3_1_0,1.1247878058300134e-14
0_10_3_1_1,1.5309835357222726e-15
0_10_3_1_2,3.4610481296150804e-08
0_10_3_1_3,1.7095272375077807e-10
0_10_3_2_0,7.363494165664949e-05
0_10_3_2_1,6.649187922870136e-06
0_10_3_2_2,4.605599695355982e-08
0_10_3_2_3,0.0003354757956022576
0_10_3_3_0,3.9651632101871075e-07
0_10_3_3_1,6.650528879948138e-06
0_10_3_3_2,2.364392953964879e-06
0_10_3_3_3,0.00026965629348062506
0_10_4_0_0,5.726975356602884e-07
0_10_4_0_1,0.0062437199376381034
0_10_4_0_2,0.0005434154965815663
0_10_4_0_3,1.6962096872915164e-11
0_10_4_1_0,1.5493018102961205e-10
0_10_4_1_1,3.493850040001187e-09
0_10_4_1_2,2.3299918695786278e-08
0_10_4_1_3,1.5297116875504525e-07
0_10_4_2_0,7.34348227983641e-05
0_10_4_2_1,6.758128746188283e-06
0_10_4_2_2,3.541992838491497e-08
0_10_4_2_3,0.00042420327301573145
0_10_4_3_0,4.5460651003887327e-07
0_10_4_3_1,1.0332492049027773e-05
0_10_4_3_2,5.292602983146005e-06
0_10_4_3_3,0.00043162396264152206
0_10_5_0_0,7.553422862267063e-05
0_10_5_0_1,0.0017742118779489246
0_10_5_0_2,0.0034796420886815463
0_10_5_0_3,0.003204956578788228
0_10_5_1_0,1.332995432202246e-07
0_10_5_1_1,3.394114243070238e-07
0_10_5_1_2,5.211262805368947e-07
0_10_5_1_3,3.3167505222605774e-06
0_10_5_2_0,2.9223624675580368e-05
0_10_5_2_1,4.520008372487834e-06
0_10_5_2_2,1.1078052615493393e-06
0_10_5_2_3,0.0005699460498716889
0_10_5_3_0,6.138980000893382e-06
0_10_5_3_1,3.862719276053432e-05
0_10_5_3_2,3.627727540032168e-06
0_10_5_3_3,0.00030934458172633103
0_10_6_0_0,0.00026439141517151104
0_10_6_0_1,0.018075797868939727
0_10_6_0_2,0.00046874824339765203
0_10_6_0_3,0.014115600695978035
0_10_6_1_0,0.008295647592665562
0_10_6_1_1,0.00019677770561814999
0_10_6_1_2,0.0001495868120983976
0_10_6_1_3,0.0004736919339909041
0_10_6_2_0,0.0008228930043805822
0_10_6_2_1,0.00016813379446573828
0_10_6_2_2,0.00028847615239991216
0_10_6_2_3,0.0005609950652731541
0_10_6_3_0,0.0003777443766529085
0_10_6_3_1,0.000541058961962552
0_10_6_3_2,0.00029401283480357313
0_10_6_3_3,0.000532458145592799
0_10_7_0_0,0.03267777065388497
0_10_7_0_1,0.1519084093719539
0_10_7_0_2,0.2911475755763113
0_10_7_0_3,0.11393991797089613
0_10_7_1_0,0.06144131268394425
0_10_7_1_1,0.07545807736945997
0_10_7_1_2,0.0245886974084412
0_10_7_1_3,0.03404118136902608
0_10_7_2_0,0.0374173642346644
0_10_7_2_1,0.03347998573930681
0_10_7_2_2,0.02267300031003538
0_10_7_2_3,0.01931779051011999
0_10_7_3_0,0.045966623556007516
0_10_7_3_1,0.0747873483490184
0_10_7_3_2,0.029788268282049463
0_10_7_3_3,0.05039661448772741
0_10_8_0_0,0.8020813957367701
0_10_8_0_1,0.8028360930368398
0_10_8_0_2,0.871293305305553
0_10_8_0_3,0.8941025117359781
0_10_8_1_0,0.6826358751132209
0_10_8_1_1,0.7198229429051534
0_10_8_1_2,0.8437375273122124
0_10_8_1_3,0.6930844261376784
0_10_8_2_0,0.6842971880734063
0_10_8_2_1,0.7841329182682149
0_10_8_2_2,0.8089117548807563
0_10_8_2_3,0.6574143979589809
0_10_8_3_0,0.6775932720375564
0_10_8_3_1,0.6125703098085149
0_10_8_3_2,0.6718693016596161
0_10_8_3_3,0.7479940989638735
0_10_9_0_0,0.8042338214233247
0_10_9_0_1,0.8002974557771588
0_10_9_0_2,0.8681878500952522
0_10_9_0_3,0.9562406832938277
0_10_9_1_0,0.7761957043466621
0_10_9_1_1,0.8536149753809854
0_10_9_1_2,0.8436042149134086
0_10_9_1_3,0.8216807987061326
0_10_9_2_0,0.8090076689077214
0_10_9_2_1,0.8617027653612692
0_10_9_2_2,0.8544759370841468
0_10_9_2_3,0.8310162608413145
0_10_9_3_0,0.7515211031695398
0_10_9_3_1,0.6627259264759328
0_10_9_3_2,0.8009465261362071
0_10_9_3_3,0.8743769679912834
0_11_0_0_0,4.0315202976375183e-07
0_11_0_0_1,5.834973015324837e-05
0_11_0_0_2,8.33106097966987e-05
0_11_0_0_3,2.376390065917627e-05
0_11_0_1_0,6.889471637477768e-22
0_11_0_1_1,1.3904896268309746e-20
0_11_0_1_2,2.410744075002206e-22
0_11_0_1_3,3.203218009030516e-16
0_11_0_2_0,3.701919639390954e-17
0_11_0_2_1,5.421570659215098e-19
0_11_0_2_2,4.10718010444906e-17
0_11_0_2_3,3.2981156838713145e-06
0_11_0_3_0,1.5612181494480294e-14
0_11_0_3_1,1.6537507834852598e-08
0_11_0_3_2,1.6329913520345086e-09
0_11_0_3_3,6.871631729529775e-07
0_11_10_0_0,0.9937979537552727
0_11_10_0_1,0.8002076461541782
0_11_10_0_2,0.8666666614564378
0_11_10_0_3,0.9544989839486767
0_11_10_1_0,0.8991751255111406
0_11_10_1_1,0.8732218027715396
0_11_10_1_2,0.9004930517291353
0_11_10_1_3,0.8364174754605884
0_11_10_2_0,0.8692155417427017
0_11_10_2_1,0.8914309491137119
0_11_10_2_2,0.9198741352469172
0_11_10_2_3,0.8857540815324391
0_11_10_3_0,0.8490327356575433
0_11_10_3_1,0.8924632352461428
0_11_10_3_2,0.8810273087441456
0_11_10_3_3,0.9137632529359363
0_11_1_0_0,4.0315202976375183e-07
0_11_1_0_1,2.0366345852280262e-27
0_11_1_0_2,4.4765507954700935e-32
0_11_1_0_3,0.000505776335774299
0_11_1_1_0,3.417944438015104e-17
0_11_1_1_1,6.991327509885112e-16
0_11_1_1_2,3.1271021600363985e-20
0_11_1_1_3,5.558896805492066e-14
0_11_1_2_0,3.72648192135609e-14
0_11_1_2_1,3.386160295476929e-17
0_11_1_2_2,2.1411025075821536e-16
0_11_1_2_3,4.496643796591026e-06
0_11_1_3_0,1.3713788740450048e-13
0_11_1_3_1,9.382056316688131e-09
0_11_1_3_2,1.35711782841162e-09
0_11_1_3_3,9.811855613839088e-07
0_11_2_0_0,4.0315202976375183e-07
0_11_2_0_1,1.1503271905019699e-26
0_11_2_0_2,0.000549077903380206
0_11_2_0_3,6.228065849876651e-06
0_11_2_1_0,3.644083048577973e-16
0_11_2_1_1,2.3106465773932073e-14
0_11_2_1_2,2.4031584558893093e-18
0_11_2_1_3,3.4475655620706867e-12
0_11_2_2_0,2.5251953759778376e-14
0_11_2_2_1,2.0211952770035735e-14
