name,seed,agents_num,teams_num,teams_size,agents_connection_probability,teams_connection_probability,agents_average_initial_opinion,technology_success_rate
0_0_0_0_0,383329927,5,1,5,0.3741,0.0,-1.0,0.0
0_0_0_0_1,383329927,10,1,10,0.16626666666666667,0.0,-1.0,0.0
0_0_0_0_2,383329927,15,1,15,0.10688571428571428,0.0,-1.0,0.0
0_0_0_0_3,383329927,20,1,20,0.0787578947368421,0.0,-1.0,0.0
0_0_0_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-1.0,0.0
0_0_0_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-1.0,0.0
0_0_0_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-1.0,0.0
0_0_0_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-1.0,0.0
0_0_0_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-1.0,0.0
0_0_0_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-1.0,0.0
0_0_0_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-1.0,0.0
0_0_0_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-1.0,0.0
0_0_0_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-1.0,0.0
0_0_0_3_1,383329927,300,30,10,0.16626666666666667,0.1724137931034483,-1.0,0.0
0_0_0_3_2,383329927,450,30,15,0.10688571428571428,0.1724137931034483,-1.0,0.0
0_0_0_3_3,383329927,600,30,20,0.0787578947368421,0.1724137931034483,-1.0,0.0
0_0_1_0_0,383329927,5,1,5,0.3741,0.0,-1.0,0.1
0_0_1_0_1,383329927,10,1,10,0.16626666666666667,0.0,-1.0,0.1
0_0_1_0_2,383329927,15,1,15,0.10688571428571428,0.0,-1.0,0.1
0_0_1_0_3,383329927,20,1,20,0.0787578947368421,0.0,-1.0,0.1
0_0_1_1_0,383329927,50,10,5,0.3741,0.5555555555555556,-1.0,0.1
0_0_1_1_1,383329927,100,10,10,0.16626666666666667,0.5555555555555556,-1.0,0.1
0_0_1_1_2,383329927,150,10,15,0.10688571428571428,0.5555555555555556,-1.0,0.1
0_0_1_1_3,383329927,200,10,20,0.0787578947368421,0.5555555555555556,-1.0,0.1
0_0_1_2_0,383329927,100,20,5,0.3741,0.2631578947368421,-1.0,0.1
0_0_1_2_1,383329927,200,20,10,0.16626666666666667,0.2631578947368421,-1.0,0.1
0_0_1_2_2,383329927,300,20,15,0.10688571428571428,0.2631578947368421,-1.0,0.1
0_0_1_2_3,383329927,400,20,20,0.0787578947368421,0.2631578947368421,-1.0,0.1
0_0_1_3_0,383329927,150,30,5,0.3741,0.1724137931034483,-1.0,0.1
