model_name,steady_S,steady_Q,steady_L,steady_B
0_0_0_0_0,0.0,0.0,0.0,1.0
0_0_0_0_1,0.0,0.0,0.0,1.0
0_0_0_0_2,0.0,0.0,0.0,1.0
0_0_0_0_3,0.0,0.0,0.0,1.0
0_0_0_1_0,0.0,0.0,0.0,1.0
0_0_0_1_1,0.0,0.0,0.0,1.0
0_0_0_1_2,0.0,0.0,0.0,1.0
0_0_0_1_3,0.0,0.0,0.0,1.0
0_0_0_2_0,0.0,0.0,0.0,1.0
0_0_0_2_1,0.0,0.0,0.0,1.0
0_0_0_2_2,0.0,0.0,0.0,1.0
0_0_0_2_3,0.0,0.0,0.0,1.0
0_0_0_3_0,0.0,0.0,0.0,1.0
0_0_0_3_1,0.0,0.0,0.0,1.0
0_0_0_3_2,0.0,0.0,0.0,1.0
0_0_0_3_3,0.0,0.0,0.0,1.0
0_0_10_0_0,0.0,0.0,0.0,1.0
0_0_10_0_1,0.0,0.0,0.0,1.0
0_0_10_0_2,0.0,0.0,0.0,1.0
0_0_10_0_3,0.0,0.0,0.0,1.0
0_0_10_1_0,0.0,0.0,0.0,1.0
0_0_10_1_1,0.0,0.0,0.0,1.0
0_0_10_1_2,0.0,0.0,0.0,1.0
0_0_10_1_3,0.0,0.0,0.0,1.0
0_0_10_2_0,0.0,0.0,0.0,1.0
0_0_10_2_1,0.0,0.0,0.0,1.0
0_0_10_2_2,0.0,0.0,0.0,1.0
0_0_10_2_3,0.0,0.0,0.0,1.0
0_0_10_3_0,0.0,0.0,0.0,1.0
0_0_10_3_1,0.0,0.0,0.0,1.0
0_0_10_3_2,0.0,0.0,0.0,1.0
0_0_10_3_3,0.0,0.0,0.0,1.0
0_0_1_0_0,0.0,0.0,0.0,1.0
0_0_1_0_1,0.0,0.0,0.0,1.0
0_0_1_0_2,0.0,0.0,0.0,1.0
0_0_1_0_3,0.0,0.0,0.0,1.0
0_0_1_1_0,0.0,0.0,0.0,1.0
0_0_1_1_1,0.0,0.0,0.0,1.0
0_0_1_1_2,0.0,0.0,0.0,1.0
0_0_1_1_3,0.0,0.0,0.0,1.0
0_0_1_2_0,0.0,0.0,0.0,1.0
0_0_1_2_1,0.0,0.0,0.0,1.0
0_0_1_2_2,0.0,0.0,0.0,1.0
0_0_1_2_3,0.0,0.0,0.0,1.0
0_0_1_3_0,0.0,0.0,0.0,1.0
0_0_1_3_1,0.0,0.0,0.0,1.0
0_0_1_3_2,0.0,0.0,0.0,1.0
0_0_1_3_3,0.0,0.0,0.0,1.0
0_0_2_0_0,0.0,0.0,0.0,1.0
0_0_2_0_1,0.0,0.0,0.0,1.0
0_0_2_0_2,0.0,0.0,0.0,1.0
0_0_2_0_3,0.0,0.0,0.0,1.0
0_0_2_1_0,0.0,0.0,0.0,1.0
0_0_2_1_1,0.0,0.0,0.0,1.0
0_0_2_1_2,0.0,0.0,0.0,1.0
0_0_2_1_3,0.0,0.0,0.0,1.0
0_0_2_2_0,0.0,0.0,0.0,1.0
0_0_2_2_1,0.0,0.0,0.0,1.0
0_0_2_2_2,0.0,0.0,0.0,1.0
0_0_2_2_3,0.0,0.0,0.0,1.0
0_0_2_3_0,0.0,0.0,0.0,1.0
0_0_2_3_1,0.0,0.0,0.0,1.0
0_0_2_3_2,0.0,0.0,0.0,1.0
0_0_2_3_3,0.0,0.0,0.0,1.0
0_0_3_0_0,0.0,0.0,0.0,1.0
0_0_3_0_1,0.0,0.0,0.0,1.0
0_0_3_0_2,0.0,0.0,0.0,1.0
0_0_3_0_3,0.0,0.0,0.0,1.0
0_0_3_1_0,0.0,0.0,0.0,1.0
0_0_3_1_1,0.0,0.0,0.0,1.0
0_0_3_1_2,0.0,0.0,0.0,1.0
0_0_3_1_3,0.0,0.0,0.0,1.0
0_0_3_2_0,0.0,0.0,0.0,1.0
0_0_3_2_1,0.0,0.0,0.0,1.0
0_0_3_2_2,0.0,0.0,0.0,1.0
0_0_3_2_3,0.0,0.0,0.0,1.0
0_0_3_3_0,0.0,0.0,0.0,1.0
0_0_3_3_1,0.0,0.0,0.0,1.0
0_0_3_3_2,0.0,0.0,0.0,1.0
0_0_3_3_3,0.0,0.0,0.0,1.0
0_0_4_0_0,0.0,0.0,0.0,1.0
0_0_4_0_1,0.0,0.0,0.0,1.0
0_0_4_0_2,0.0,0.0,0.0,1.0
0_0_4_0_3,0.0,0.0,0.0,1.0
0_0_4_1_0,0.0,0.0,0.0,1.0
0_0_4_1_1,0.0,0.0,0.0,1.0
0_0_4_1_2,0.0,0.0,0.0,1.0
0_0_4_1_3,0.0,0.0,0.0,1.0
0_0_4_2_0,0.0,0.0,0.0,1.0
0_0_4_2_1,0.0,0.0,0.0,1.0
0_0_4_2_2,0.0,0.0,0.0,1.0
0_0_4_2_3,0.0,0.0,0.0,1.0
0_0_4_3_0,0.0,0.0,0.0,1.0
0_0_4_3_1,0.0,0.0,0.0,1.0
0_0_4_3_2,0.0,0.0,0.0,1.0
0_0_4_3_3,0.0,0.0,0.0,1.0
0_0_5_0_0,0.0,0.0,0.0,1.0
0_0_5_0_1,0.0,0.0,0.0,1.0
0_0_5_0_2,0.0,0.0,0.0,1.0
0_0_5_0_3,0.0,0.0,0.0,1.0
0_0_5_1_0,0.0,0.0,0.0,1.0
0_0_5_1_1,0.0,0.0,0.0,1.0
0_0_5_1_2,0.0,0.0,0.0,1.0
0_0_5_1_3,0.0,0.0,0.0,1.0
0_0_5_2_0,0.0,0.0,0.0,1.0
0_0_5_2_1,0.0,0.0,0.0,1.0
0_0_5_2_2,0.0,0.0,0.0,1.0
0_0_5_2_3,0.0,0.0,0.0,1.0
0_0_5_3_0,0.0,0.0,0.0,1.0
0_0_5_3_1,0.0,0.0,0.0,1.0
0_0_5_3_2,0.0,0.0,0.0,1.0
0_0_5_3_3,0.0,0.0,0.0,1.0
0_0_6_0_0,0.0,0.0,0.0,1.0
0_0_6_0_1,0.0,0.0,0.0,1.0
0_0_6_0_2,0.0,0.0,0.0,1.0
0_0_6_0_3,0.0,0.0,0.0,1.0
0_0_6_1_0,0.0,0.0,0.0,1.0
0_0_6_1_1,0.0,0.0,0.0,1.0
0_0_6_1_2,0.0,0.0,0.0,1.0
0_0_6_1_3,0.0,0.0,0.0,1.0
0_0_6_2_0,0.0,0.0,0.0,1.0
0_0_6_2_1,0.0,0.0,0.0,1.0
0_0_6_2_2,0.0,0.0,0.0,1.0
0_0_6_2_3,0.0,0.0,0.0,1.0
0_0_6_3_0,0.0,0.0,0.0,1.0
0_0_6_3_1,0.0,0.0,0.0,1.0
0_0_6_3_2,0.0,0.0,0.0,1.0
0_0_6_3_3,0.0,0.0,0.0,1.0
0_0_7_0_0,0.0,0.0,0.0,1.0
0_0_7_0_1,0.0,0.0,0.0,1.0
0_0_7_0_2,0.0,0.0,0.0,1.0
